OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-03-01T00:00:00,2019-03-31T23:59:59,Month,2019-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,169534,223831,144591,117113,92832
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184701,244306,162960,130936,99739
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,152385,209898,130461,104211,81121
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,181558,224786,153891,121706,91941
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,154244,248238,166518,127663,105141
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,209668,254945,172407,142174,102958
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188368,234102,159262,129296,86638
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,211998,298559,192088,153998,108788
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-02-01T00:00:00,2019-02-30T23:59:59,Month,2019-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,168273,222119,143463,116304,92637
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184731,244582,162972,130789,99578
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,150558,207537,128996,102892,79523
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,180191,223089,152700,120847,91261
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,152597,245755,164764,126363,103767
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,210882,256529,173166,143160,103827
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,189855,236165,160379,130127,87227
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,214542,302151,194417,155852,110035
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2019-01-01T00:00:00,2019-01-31T23:59:59,Month,2019-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,167665,221499,142939,115726,92113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,183820,242825,162287,130563,99628
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,152806,210320,130894,104691,81075
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,174808,216179,148272,117492,88838
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,152836,245345,164859,126813,104115
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,211799,257392,174067,144058,104608
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,190513,236744,160981,130853,88002
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,213750,300598,193672,155600,109991
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-12-01T00:00:00,2018-12-31T23:59:59,Month,2018-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,166392,219528,141902,115110,91685
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185393,244775,163643,131908,100395
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,154916,213280,132729,106213,81852
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2019-11-20T00:00:00,,2018-11-01T00:00:00,2018-11-31T23:59:59,Month,2018-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,176206,217914,149508,118482,89125
